address,name,price,rating,rating1,rating2,rating3,rating4,rating5
"Lützowplatz 17, Mitte, 10785 Berlin, Germany","Hotel Berlin, Berlin, a member of Radisson Individuals","<selenium.webdriver.remote.webelement.WebElement (session=""1fb08cd0-1726-4034-93ab-2c2e5a367c48"", element=""708496a2-ef8d-487e-862f-1969eec2aca1"")>",8.0,8.4,8.2,8.5,8.4,7.9
"Anhalter Str. 8-9, Friedrichshain-Kreuzberg, 10963 Berlin, Germany",relexa hotel Stuttgarter Hof,"<selenium.webdriver.remote.webelement.WebElement (session=""1fb08cd0-1726-4034-93ab-2c2e5a367c48"", element=""5669a146-f6af-4528-93cd-147aff38a136"")>",8.0,8.8,8.0,8.2,8.2,8.1
"Unter den Linden 77, Mitte, 10117 Berlin, Germany",Hotel Adlon Kempinski Berlin,"<selenium.webdriver.remote.webelement.WebElement (session=""1fb08cd0-1726-4034-93ab-2c2e5a367c48"", element=""1168326c-3ebd-4c15-9163-9ae377beaf2b"")>",9.2,9.5,9.1,9.5,9.5,8.4
"Brahmsstr. 10, Charlottenburg-Wilmersdorf, 14193 Berlin, Germany",Schlosshotel Berlin by Patrick Hellmann,"<selenium.webdriver.remote.webelement.WebElement (session=""1fb08cd0-1726-4034-93ab-2c2e5a367c48"", element=""e700e480-c843-4832-87ce-1722e5a14fe7"")>",8.6,9.1,8.7,9.1,9.2,8.0
"Flottwellstraße 45, Mitte, 10785 Berlin, Germany",Grimm's Potsdamer Platz,"<selenium.webdriver.remote.webelement.WebElement (session=""1fb08cd0-1726-4034-93ab-2c2e5a367c48"", element=""457741ca-4802-4cf8-9f81-4694044f7484"")>",8.8,9.3,8.8,9.2,9.1,8.7
"2 Alexander-Meißner-Straße, Treptow-Köpenick, 12526 Berlin, Germany",Premier Inn Berlin Airport,"<selenium.webdriver.remote.webelement.WebElement (session=""1fb08cd0-1726-4034-93ab-2c2e5a367c48"", element=""22c075e0-b97d-4d1e-9c3a-507bb3e544e7"")>",8.8,8.8,9.0,9.3,9.2,9.0
"Muehlenstrasse 13-19, Friedrichshain-Kreuzberg, 10243 Berlin, Germany",Hotel Indigo Berlin - East Side Gallery,"<selenium.webdriver.remote.webelement.WebElement (session=""1fb08cd0-1726-4034-93ab-2c2e5a367c48"", element=""4a133d2f-b0a3-4762-894c-01bb133a5e0f"")>",9.0,9.3,9.2,9.5,9.4,8.5
"Kurfürstendamm 202, Charlottenburg-Wilmersdorf, 10719 Berlin, Germany",Hollywood Media Hotel am Kurfürstendamm,"<selenium.webdriver.remote.webelement.WebElement (session=""1fb08cd0-1726-4034-93ab-2c2e5a367c48"", element=""43a4e87c-1da8-40cb-a47b-c3ffe11f490a"")>",8.3,8.5,8.3,8.7,8.6,8.2
"Mauerstr. 81-82, Mitte, 10117 Berlin, Germany",Hotel Gat Point Charlie,"<selenium.webdriver.remote.webelement.WebElement (session=""1fb08cd0-1726-4034-93ab-2c2e5a367c48"", element=""c50f0106-8c81-45b2-b5e1-b2472e317e3e"")>",8.1,8.9,8.0,8.5,8.4,8.2
"Marlene-Dietrich-Platz 2, Mitte, 10785 Berlin, Germany",Grand Hyatt Berlin,"<selenium.webdriver.remote.webelement.WebElement (session=""1fb08cd0-1726-4034-93ab-2c2e5a367c48"", element=""42ee409e-0cd5-4201-a85d-1f0fcdc33609"")>",8.8,9.2,9.0,9.3,9.3,8.1
"Kantstraße 111a, Charlottenburg-Wilmersdorf, 10627 Berlin, Germany",Hotel Domicil Berlin by Golden Tulip,"<selenium.webdriver.remote.webelement.WebElement (session=""1fb08cd0-1726-4034-93ab-2c2e5a367c48"", element=""53d1ab04-a994-4a80-ba49-688a93acb3ff"")>",7.7,8.7,7.6,8.2,8.0,7.9
